output,fattore,mu,mu_star,sigma,n_ee
E[Hydrogen combustion]@1500nmi_250kt_propeller,oew_prop_r_pivot,0.08027135588989984,0.08027135588989984,0.08969376156029304,20
E[Hydrogen combustion]@1500nmi_250kt_propeller,calibration_block,-0.171851139790207,0.29477537424931677,0.29962370111586506,20
E[e-SAF combustion]@100nmi_350kt_fan,e_battery_Wh_per_kg,0.0,0.0,0.0,20
E[e-SAF combustion]@100nmi_350kt_fan,fuel_cell_specific_power_kW_per_kg,0.0,0.0,0.0,20
E[e-SAF combustion]@100nmi_350kt_fan,eta_fuel_cell,0.0,0.0,0.0,20
E[e-SAF combustion]@100nmi_350kt_fan,gamma_tank,0.0,0.0,0.0,20
E[e-SAF combustion]@100nmi_350kt_fan,electricity,0.0,0.0,0.0,20
E[e-SAF combustion]@100nmi_350kt_fan,liquid_hydrogen,-1.0981433489128551,1.0981433489128551,1.0552199872085004,20
E[e-SAF combustion]@100nmi_350kt_fan,e_saf,-1.9351257225300849,1.9351257225300849,1.1898875303110361,20
E[e-SAF combustion]@100nmi_350kt_fan,eta_motor,0.0,0.0,0.0,20
E[e-SAF combustion]@100nmi_350kt_fan,eta_p_propeller,0.0,0.0,0.0,20
E[e-SAF combustion]@100nmi_350kt_fan,eta_p_fan,0.0,0.0,0.0,20
E[e-SAF combustion]@100nmi_350kt_fan,oew_fan_b,1.7821967487285384,1.7821967487285384,0.43553837310685845,20
E[e-SAF combustion]@100nmi_350kt_fan,oew_fan_r_pivot,0.815505612891903,0.815505612891903,0.4005638766737335,20
E[e-SAF combustion]@100nmi_350kt_fan,oew_prop_b,0.0,0.0,0.0,20
E[e-SAF combustion]@100nmi_350kt_fan,oew_prop_r_pivot,0.0,0.0,0.0,20
E[e-SAF combustion]@100nmi_350kt_fan,calibration_block,0.2631893634602598,0.2631893634602598,0.30165508386997336,20
E[e-SAF combustion]@1500nmi_450kt_fan,e_battery_Wh_per_kg,0.0,0.0,0.0,20
E[e-SAF combustion]@1500nmi_450kt_fan,fuel_cell_specific_power_kW_per_kg,0.0,0.0,0.0,20
E[e-SAF combustion]@1500nmi_450kt_fan,eta_fuel_cell,0.0,0.0,0.0,20
E[e-SAF combustion]@1500nmi_450kt_fan,gamma_tank,0.0,0.0,0.0,20
E[e-SAF combustion]@1500nmi_450kt_fan,electricity,0.0,0.0,0.0,20
E[e-SAF combustion]@1500nmi_450kt_fan,liquid_hydrogen,-0.5391201274965483,0.5391201274965483,0.5205634100816259,20
E[e-SAF combustion]@1500nmi_450kt_fan,e_saf,-0.9473505108651736,0.9473505108651736,0.5705391813558411,20
